Date,Distance (Km),Duration (HH:mm),Over speeding,Over RPM,Idle time,Acceleration,Deceleration,Total,Ranking,Target Variable,Quarter_bin,Month,Year
31/01/2022,3003.8,74.26666666666667,98,100,33,100,100,88,34,Good,Q1_2022,1,2022
31/01/2022,4669.4,110.43333333333334,75,100,47,100,100,82,107,Good,Q1_2022,1,2022
31/01/2022,4877.5,112.18333333333334,70,99,47,100,100,81,113,Good,Q1_2022,1,2022
31/01/2022,6819,19:12:00,75,100,38,100,100,81,113,Good,Q1_2022,1,2022
31/01/2022,6097.5,128.76666666666668,91,94,71,89,91,88,34,Good,Q1_2022,1,2022
31/01/2022,4309.8,93.11666666666666,87,100,33,100,100,84,86,Good,Q1_2022,1,2022
31/01/2022,6031.4,01:12:00,96,99,33,100,100,87,54,Good,Q1_2022,1,2022
31/01/2022,7559.8,10:48:00,82,96,24,100,99,80,126,Good,Q1_2022,1,2022
31/01/2022,5095.1,115.08333333333333,70,92,58,94,94,79,133,Risky,Q1_2022,1,2022
31/01/2022,6901.7,169.56666666666666,94,93,17,96,96,82,107,Good,Q1_2022,1,2022
31/01/2022,4732.6,122.03333333333333,84,85,18,99,99,78,138,Risky,Q1_2022,1,2022
31/01/2022,4997.4,112.36666666666666,98,100,21,100,100,86,67,Good,Q1_2022,1,2022
31/01/2022,5260.2,119.68333333333334,72,97,14,98,98,75,148,Risky,Q1_2022,1,2022
31/01/2022,5095.7,116.51666666666667,100,100,46,100,100,91,9,Good,Q1_2022,1,2022
31/01/2022,4977.8,114.78333333333333,80,100,36,99,100,82,107,Good,Q1_2022,1,2022
31/01/2022,7128.7,166.88333333333333,98,100,25,100,100,86,67,Good,Q1_2022,1,2022
31/01/2022,4892.6,06:00:00,99,100,49,100,100,91,9,Good,Q1_2022,1,2022
31/01/2022,6795.6,147.78333333333333,84,100,50,100,99,86,67,Good,Q1_2022,1,2022
31/01/2022,5305,16:48:00,100,100,40,100,100,90,13,Good,Q1_2022,1,2022
31/01/2022,6571.8,156.83333333333334,89,100,51,100,100,88,34,Good,Q1_2022,1,2022
31/01/2022,5358,20:24:00,68,93,8,99,99,72,150,Risky,Q1_2022,1,2022
31/01/2022,6093.5,145.96666666666667,96,100,32,100,100,87,54,Good,Q1_2022,1,2022
31/01/2022,6548.1,160.81666666666666,85,100,29,100,100,83,100,Good,Q1_2022,1,2022
31/01/2022,7345.7,181.63333333333333,100,100,45,100,100,90,13,Good,Q1_2022,1,2022
31/01/2022,6076.7,14:24:00,77,99,32,100,100,80,126,Good,Q1_2022,1,2022
31/01/2022,355.3,18:00:00,100,100,46,100,100,91,9,Good,Q1_2022,1,2022
31/01/2022,7270.4,164.58333333333334,75,100,34,100,100,80,126,Good,Q1_2022,1,2022
31/01/2022,3517,79.88333333333334,84,100,26,100,100,82,107,Good,Q1_2022,1,2022
31/01/2022,6667.7,146.93333333333334,67,100,54,100,100,81,113,Good,Q1_2022,1,2022
31/01/2022,6194.5,145.33333333333334,89,100,44,100,100,87,54,Good,Q1_2022,1,2022
31/01/2022,2718.5,151.26666666666668,100,100,100,100,100,100,1,Good,Q1_2022,1,2022
